office_name,date,monthly_registrations
Ballia,2024-08-01,557.8498
Ballia,2024-09-01,591.3759
Ballia,2024-10-01,591.5936
Ballia,2024-11-01,599.06573
Ballia,2024-12-01,593.19434
Ballia,2025-01-01,718.43274
Ballia,2025-02-01,818.58203
Ballia,2025-03-01,938.1212
Ballia,2025-04-01,1040.944
Ballia,2025-05-01,1160.051
Balrampur,2024-06-01,265.7102
Balrampur,2024-07-01,252.40862
Balrampur,2024-08-01,242.63069
Balrampur,2024-09-01,239.14143
Balrampur,2024-10-01,187.57816
Balrampur,2024-11-01,175.55875
Balrampur,2024-12-01,154.35352
Balrampur,2025-01-01,228.74396
Balrampur,2025-02-01,241.8063
Balrampur,2025-03-01,275.4425
Balrampur,2025-04-01,271.69357
Balrampur,2025-05-01,280.5933
Bandarto,2024-06-01,281.74146
Bandarto,2024-07-01,265.83514
Bandarto,2024-08-01,261.89008
Bandarto,2024-09-01,256.87115
Bandarto,2024-10-01,204.12988
Bandarto,2024-11-01,193.07332
Bandarto,2024-12-01,168.62828
Bandarto,2025-01-01,246.9286
Bandarto,2025-02-01,264.22458
Bandarto,2025-03-01,301.4678
Bandarto,2025-04-01,302.86087
Bandarto,2025-05-01,316.83682
Barabanki Arto,2024-06-01,317.24106
Barabanki Arto,2024-07-01,316.14682
Barabanki Arto,2024-08-01,313.0803
Barabanki Arto,2024-09-01,303.4255
Barabanki Arto,2024-10-01,260.4759
Barabanki Arto,2024-11-01,248.54395
Barabanki Arto,2024-12-01,218.8748
Barabanki Arto,2025-01-01,310.27277
Barabanki Arto,2025-02-01,340.24448
Barabanki Arto,2025-03-01,390.628
Barabanki Arto,2025-04-01,409.10477
Barabanki Arto,2025-05-01,441.53253
Bareilly,2024-06-01,900.6017
Bareilly,2024-07-01,1007.89404
Bareilly,2024-08-01,1109.2092
Bareilly,2024-09-01,1217.7954
Bareilly,2024-10-01,1296.5294
Bareilly,2024-11-01,1384.3075
Bareilly,2024-12-01,1463.6489
Bareilly,2025-01-01,1627.0997
Bareilly,2025-02-01,1760.4546
Bareilly,2025-03-01,1893.8752
Bareilly,2025-04-01,1989.3053
Bareilly,2025-05-01,2076.61
Basti Rto,2024-06-01,281.61215
Basti Rto,2024-07-01,227.38878
Basti Rto,2024-08-01,248.81828
Basti Rto,2024-09-01,250.73912
Basti Rto,2024-10-01,187.2762
Basti Rto,2024-11-01,183.9654
Basti Rto,2024-12-01,161.83557
Basti Rto,2025-01-01,231.75046
Basti Rto,2025-02-01,247.77257
Basti Rto,2025-03-01,280.84464
Basti Rto,2025-04-01,278.58334
Basti Rto,2025-05-01,288.22296
Bhadohi(Sant Ravidas Nagar),2024-06-01,118.137985
Bhadohi(Sant Ravidas Nagar),2024-07-01,101.44831
Bhadohi(Sant Ravidas Nagar),2024-08-01,97.06936
Bhadohi(Sant Ravidas Nagar),2024-09-01,87.26659
Bhadohi(Sant Ravidas Nagar),2024-10-01,62.023945
Bhadohi(Sant Ravidas Nagar),2024-11-01,54.468723
Bhadohi(Sant Ravidas Nagar),2024-12-01,42.891403
Bhadohi(Sant Ravidas Nagar),2025-01-01,97.44881
Bhadohi(Sant Ravidas Nagar),2025-02-01,107.58407
Bhadohi(Sant Ravidas Nagar),2025-03-01,120.17825
Bhadohi(Sant Ravidas Nagar),2025-04-01,111.996056
Bhadohi(Sant Ravidas Nagar),2025-05-01,108.25045
Bijnor,2024-06-01,586.41345
Bijnor,2024-07-01,703.19763
Bijnor,2024-08-01,753.60126
Bijnor,2024-09-01,827.54407
Bijnor,2024-10-01,862.5509
Bijnor,2024-11-01,912.20166
Bijnor,2024-12-01,953.69507
Bijnor,2025-01-01,1111.7596
Bijnor,2025-02-01,1247.5432
Bijnor,2025-03-01,1400.1068
Bijnor,2025-04-01,1528.3257
Bijnor,2025-05-01,1660.9988
Bulandshahar,2024-06-01,457.41052
Bulandshahar,2024-07-01,493.04895
Bulandshahar,2024-08-01,518.2044
Bulandshahar,2024-09-01,545.7744
Bulandshahar,2024-10-01,537.4596
Bulandshahar,2024-11-01,537.34796
Bulandshahar,2024-12-01,527.58624
Bulandshahar,2025-01-01,648.88776
Bulandshahar,2025-02-01,738.31335
Bulandshahar,2025-03-01,848.5003
Bulandshahar,2025-04-01,940.75226
Bulandshahar,2025-05-01,1050.5325
Chandauli,2024-06-01,127.132774
Chandauli,2024-07-01,112.96561
Chandauli,2024-08-01,108.77524
Chandauli,2024-09-01,95.144844
Chandauli,2024-10-01,71.69643
Chandauli,2024-11-01,61.33882
Chandauli,2024-12-01,48.368248
Chandauli,2025-01-01,106.016884
Chandauli,2025-02-01,114.11204
Chandauli,2025-03-01,127.41657
Chandauli,2025-04-01,117.73103
Chandauli,2025-05-01,113.77051
Chitrakoot,2024-06-01,164.84087
Chitrakoot,2024-07-01,147.51797
Chitrakoot,2024-08-01,128.43239
Chitrakoot,2024-09-01,125.28666
Chitrakoot,2024-10-01,96.14398
Chitrakoot,2024-11-01,80.89301
Chitrakoot,2024-12-01,67.12411
Chitrakoot,2025-01-01,127.974045
Chitrakoot,2025-02-01,132.67636
Chitrakoot,2025-03-01,147.03957
Chitrakoot,2025-04-01,134.2715
Chitrakoot,2025-05-01,129.04788
Deoria,2024-06-01,377.56744
Deoria,2024-07-01,365.90375
Deoria,2024-08-01,387.9358
Deoria,2024-09-01,388.23145
Deoria,2024-10-01,353.26215
Deoria,2024-11-01,347.63144
Deoria,2024-12-01,321.1843
Deoria,2025-01-01,426.90457
Deoria,2025-02-01,478.59125
Deoria,2025-03-01,551.86176
Deoria,2025-04-01,599.46674
Deoria,2025-05-01,663.876
Etah,2024-06-01,136.09319
Etah,2024-07-01,115.2343
Etah,2024-08-01,111.137146
Etah,2024-09-01,101.01379
Etah,2024-10-01,73.37295
Etah,2024-11-01,64.49742
Etah,2024-12-01,51.48459
Etah,2025-01-01,107.95609
Etah,2025-02-01,116.09225
Etah,2025-03-01,129.36879
Etah,2025-04-01,119.31099
Etah,2025-05-01,115.28786
Etawah,2024-06-01,156.35413
Etawah,2024-07-01,124.09067
Etawah,2024-08-01,121.32303
Etawah,2024-09-01,115.204926
Etawah,2024-10-01,80.78039
Etawah,2024-11-01,74.46295
Etawah,2024-12-01,59.711376
Etawah,2025-01-01,115.82062
Etawah,2025-02-01,122.9949
Etawah,2025-03-01,136.573
Etawah,2025-04-01,125.09279
Etawah,2025-05-01,120.86543
Farrukhabad,2024-06-01,153.05849
Farrukhabad,2024-07-01,129.12024
Farrukhabad,2024-08-01,125.1997
Farrukhabad,2024-09-01,114.19966
Farrukhabad,2024-10-01,84.81368
Farrukhabad,2024-11-01,75.77702
Farrukhabad,2024-12-01,59.874958
Farrukhabad,2025-01-01,119.034836
Farrukhabad,2025-02-01,125.11127
Farrukhabad,2025-03-01,139.06158
Farrukhabad,2025-04-01,127.07124
Farrukhabad,2025-05-01,122.76535
Fathehpur,2024-06-01,275.97018
Fathehpur,2024-07-01,257.18433
Fathehpur,2024-08-01,253.81447
Fathehpur,2024-09-01,249.40755
Fathehpur,2024-10-01,194.8393
Fathehpur,2024-11-01,185.51625
Fathehpur,2024-12-01,162.22812
Fathehpur,2025-01-01,237.5855
Fathehpur,2025-02-01,253.26564
Fathehpur,2025-03-01,288.39334
Fathehpur,2025-04-01,287.299
Fathehpur,2025-05-01,298.62625
Ferozabad,2024-06-01,247.48581
Ferozabad,2024-07-01,211.9894
Ferozabad,2024-08-01,212.48549
Ferozabad,2024-09-01,212.09972
Ferozabad,2024-10-01,153.43875
Ferozabad,2024-11-01,152.49124
Ferozabad,2024-12-01,131.4445
Ferozabad,2025-01-01,196.72493
Ferozabad,2025-02-01,207.48335
Ferozabad,2025-03-01,232.8437
Ferozabad,2025-04-01,221.26332
Ferozabad,2025-05-01,222.38167
Ghaziabad,2024-06-01,1549.8943
Ghaziabad,2024-07-01,1680.3116
Ghaziabad,2024-08-01,1805.2568
Ghaziabad,2024-09-01,1899.278
Ghaziabad,2024-10-01,1948.3076
Ghaziabad,2024-11-01,1987.4862
Ghaziabad,2024-12-01,2007.4425
Ghaziabad,2025-01-01,2106.707
Ghaziabad,2025-02-01,2172.6145
Ghaziabad,2025-03-01,2235.5833
Ghaziabad,2025-04-01,2265.0237
Ghaziabad,2025-05-01,2293.0422
Ghazipur,2024-06-01,411.259
Ghazipur,2024-07-01,375.27985
