date,office_name,office_code,fuel_type,registrations
2023-01-01,Akbarpur(Ambedkar Nagar),UP45,Electric(Bov),116
2023-07-01,Akbarpur(Ambedkar Nagar),UP45,Electric(Bov),170
2023-06-01,Akbarpur(Ambedkar Nagar),UP45,Electric(Bov),133
2023-03-01,Akbarpur(Ambedkar Nagar),UP45,Electric(Bov),152
2023-05-01,Akbarpur(Ambedkar Nagar),UP45,Electric(Bov),146
2023-11-01,Akbarpur(Ambedkar Nagar),UP45,Electric(Bov),244
2023-10-01,Akbarpur(Ambedkar Nagar),UP45,Electric(Bov),186
2023-09-01,Akbarpur(Ambedkar Nagar),UP45,Electric(Bov),242
2024-04-01,Akbarpur(Ambedkar Nagar),UP45,Electric(Bov),153
2024-04-01,Akbarpur(Ambedkar Nagar),UP45,Pure Ev,3
2024-02-01,Akbarpur(Ambedkar Nagar),UP45,Electric(Bov),216
2024-01-01,Akbarpur(Ambedkar Nagar),UP45,Electric(Bov),280
2024-03-01,Akbarpur(Ambedkar Nagar),UP45,Electric(Bov),290
2024-03-01,Akbarpur(Ambedkar Nagar),UP45,Pure Ev,1
2024-05-01,Akbarpur(Ambedkar Nagar),UP45,Electric(Bov),181
2024-05-01,Akbarpur(Ambedkar Nagar),UP45,Pure Ev,20
2020-04-01,Aligarh Rto,UP81,Electric(Bov),4
2020-08-01,Aligarh Rto,UP81,Electric(Bov),12
2020-12-01,Aligarh Rto,UP81,Electric(Bov),4
2020-02-01,Aligarh Rto,UP81,Electric(Bov),21
2020-01-01,Aligarh Rto,UP81,Electric(Bov),35
2020-07-01,Aligarh Rto,UP81,Electric(Bov),10
2020-06-01,Aligarh Rto,UP81,Electric(Bov),7
2020-03-01,Aligarh Rto,UP81,Electric(Bov),21
2020-11-01,Aligarh Rto,UP81,Electric(Bov),5
2020-10-01,Aligarh Rto,UP81,Electric(Bov),12
2020-09-01,Aligarh Rto,UP81,Electric(Bov),7
2021-04-01,Aligarh Rto,UP81,Electric(Bov),5
2021-08-01,Aligarh Rto,UP81,Electric(Bov),2
2021-12-01,Aligarh Rto,UP81,Electric(Bov),88
2021-02-01,Aligarh Rto,UP81,Electric(Bov),14
2021-01-01,Aligarh Rto,UP81,Electric(Bov),13
2021-07-01,Aligarh Rto,UP81,Electric(Bov),14
2021-06-01,Aligarh Rto,UP81,Electric(Bov),5
2021-03-01,Aligarh Rto,UP81,Electric(Bov),18
2021-11-01,Aligarh Rto,UP81,Electric(Bov),49
2021-10-01,Aligarh Rto,UP81,Electric(Bov),42
2021-09-01,Aligarh Rto,UP81,Electric(Bov),31
2022-04-01,Aligarh Rto,UP81,Electric(Bov),84
2022-08-01,Aligarh Rto,UP81,Electric(Bov),92
2022-12-01,Aligarh Rto,UP81,Electric(Bov),740
2022-02-01,Aligarh Rto,UP81,Electric(Bov),49
2022-01-01,Aligarh Rto,UP81,Electric(Bov),73
2022-07-01,Aligarh Rto,UP81,Electric(Bov),83
2022-06-01,Aligarh Rto,UP81,Electric(Bov),109
2022-03-01,Aligarh Rto,UP81,Electric(Bov),68
2022-05-01,Aligarh Rto,UP81,Electric(Bov),74
2022-11-01,Aligarh Rto,UP81,Electric(Bov),1116
2022-10-01,Aligarh Rto,UP81,Electric(Bov),655
2022-09-01,Aligarh Rto,UP81,Electric(Bov),295
2023-04-01,Aligarh Rto,UP81,Electric(Bov),551
2023-08-01,Aligarh Rto,UP81,Electric(Bov),592
2023-12-01,Aligarh Rto,UP81,Electric(Bov),711
2023-02-01,Aligarh Rto,UP81,Electric(Bov),587
2023-01-01,Aligarh Rto,UP81,Electric(Bov),738
2023-07-01,Aligarh Rto,UP81,Electric(Bov),470
2023-06-01,Aligarh Rto,UP81,Electric(Bov),610
2023-03-01,Aligarh Rto,UP81,Electric(Bov),796
2023-05-01,Aligarh Rto,UP81,Electric(Bov),676
2023-11-01,Aligarh Rto,UP81,Electric(Bov),621
2023-10-01,Aligarh Rto,UP81,Electric(Bov),527
2023-09-01,Aligarh Rto,UP81,Electric(Bov),537
2024-04-01,Aligarh Rto,UP81,Electric(Bov),368
2024-04-01,Aligarh Rto,UP81,Pure Ev,9
2024-04-01,Aligarh Rto,UP81,Strong Hybrid Ev,6
2024-02-01,Aligarh Rto,UP81,Electric(Bov),542
2024-01-01,Aligarh Rto,UP81,Electric(Bov),541
2024-03-01,Aligarh Rto,UP81,Electric(Bov),582
2024-03-01,Aligarh Rto,UP81,Pure Ev,1
2024-03-01,Aligarh Rto,UP81,Strong Hybrid Ev,3
2024-05-01,Aligarh Rto,UP81,Electric(Bov),506
2024-05-01,Aligarh Rto,UP81,Pure Ev,71
2020-04-01,Amethi Arto,UP36,Electric(Bov),1
2020-08-01,Amethi Arto,UP36,Electric(Bov),8
2020-12-01,Amethi Arto,UP36,Electric(Bov),16
2020-02-01,Amethi Arto,UP36,Electric(Bov),18
2020-01-01,Amethi Arto,UP36,Electric(Bov),13
2020-07-01,Amethi Arto,UP36,Electric(Bov),7
2020-06-01,Amethi Arto,UP36,Electric(Bov),6
2020-03-01,Amethi Arto,UP36,Electric(Bov),15
2020-11-01,Amethi Arto,UP36,Electric(Bov),4
2020-10-01,Amethi Arto,UP36,Electric(Bov),15
2020-09-01,Amethi Arto,UP36,Electric(Bov),5
2021-04-01,Amethi Arto,UP36,Electric(Bov),17
2021-08-01,Amethi Arto,UP36,Electric(Bov),33
2021-12-01,Amethi Arto,UP36,Electric(Bov),105
2021-02-01,Amethi Arto,UP36,Electric(Bov),26
2021-01-01,Amethi Arto,UP36,Electric(Bov),23
2021-07-01,Amethi Arto,UP36,Electric(Bov),35
2021-06-01,Amethi Arto,UP36,Electric(Bov),14
2021-03-01,Amethi Arto,UP36,Electric(Bov),34
2021-05-01,Amethi Arto,UP36,Electric(Bov),9
2021-11-01,Amethi Arto,UP36,Electric(Bov),52
2021-10-01,Amethi Arto,UP36,Electric(Bov),46
2021-09-01,Amethi Arto,UP36,Electric(Bov),28
2022-04-01,Amethi Arto,UP36,Electric(Bov),116
2022-08-01,Amethi Arto,UP36,Electric(Bov),143
2022-12-01,Amethi Arto,UP36,Electric(Bov),93
2022-02-01,Amethi Arto,UP36,Electric(Bov),76
2022-01-01,Amethi Arto,UP36,Electric(Bov),86
2022-07-01,Amethi Arto,UP36,Electric(Bov),114
2022-06-01,Amethi Arto,UP36,Electric(Bov),138
2022-03-01,Amethi Arto,UP36,Electric(Bov),106
2022-05-01,Amethi Arto,UP36,Electric(Bov),139
2022-11-01,Amethi Arto,UP36,Electric(Bov),195
2022-10-01,Amethi Arto,UP36,Electric(Bov),126
2022-09-01,Amethi Arto,UP36,Electric(Bov),126
2023-04-01,Amethi Arto,UP36,Electric(Bov),149
2023-08-01,Amethi Arto,UP36,Electric(Bov),179
2023-12-01,Amethi Arto,UP36,Electric(Bov),263
